temperature,wind,precipitation
72.2,5.5,0
72.4,5,0
71.5,5.8,0
69,5.4,0
61.9,7.1,0
57.8,11.7,0
53.2,7.1,0.06
59.8,5.4,0.07
60.2,8.6,0
60.3,5.4,0
63.1,5.2,0
61.4,5.8,0
63.6,8.2,0
59,6.9,0
57.8,7.1,0
58.6,6.4,0
59.8,6.6,0
64.6,5.3,0
72.5,6,0
78.7,5.7,0
77.3,5.8,0
73.1,6.3,0
72.1,5.2,0
64,7.6,0
60.5,7.7,0
62.2,6.2,0
63.4,4.8,0
66.8,5.4,0
63.5,7,0
63.6,6.4,0
63.1,5.9,0
65.7,6.7,0
69.6,5.2,0
68.8,6.4,0
68.2,7.7,0
66.1,6.9,0
65.4,7.4,0
64,6.8,0
63.7,6.4,0
66.4,6.4,0
63.4,6.8,0
62.1,9.3,0
64.1,4.8,0
68.1,6,0
72.9,4.9,0
75.1,5.1,0
76.9,6,0
75.8,6.5,0
76.5,5.9,0
77.2,5.4,0
78.6,5.6,0
78.8,6.1,0
69.9,8.3,0
70,6.6,0
72.3,6,0
82.7,6,0
84.5,4,0
79,7.7,0
71.2,8,0
68.7,7,0
68.9,5.8,0
67.8,7.7,0
71,6.8,0
72.6,6.1,0
77.3,5.2,0
76.3,6.3,0
79.6,5,0
85.5,5,0
87,5.8,0
83.3,7.4,0
82.3,6.8,0
77.8,7.1,0
76.4,6.5,0
75.4,7.2,0
75.4,6.4,0
78.4,5.9,0
77.7,7.8,0
76.3,6.5,0
77,6,0
77.5,7.3,0
76.8,7,0
75.2,6.5,0
75.6,6.7,0
75.6,6.9,0
73.8,6,0
72.5,6.2,0
74.2,6.5,0
76.7,5.3,0
73.8,7.4,0
73.5,5.3,0
73,5.6,0
72.6,5.9,0
81.3,7.6,0
84.1,5.5,0
83.1,7.1,0
79.3,5.7,0
73.7,6.1,0
73,5.9,0
75.3,6.5,0
77.3,6.3,0
76,5.8,0
76.8,6.6,0
76.7,6.3,0
73.9,7.1,0
72.4,6.3,0
69.2,7.3,0
68.5,7.5,0
69.8,6.5,0
71.8,5.8,0
71.5,6,0
68.8,5.9,0
69.4,6.2,0
71,4.9,0
72.7,5.8,0
68.2,6.2,0
69.2,5.7,0
71,5.3,0
76.8,4.7,0
78.2,4.7,0
84.5,4.1,0
87,5.4,0
87.8,5.7,0
93.9,6,0
